file,anger,disgust,fear,happiness,sadness,surprise,neutral
S1_sad_1.avi,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S1_sad_1.avi,69.57,0.00,17.39,0.00,0.00,0.00,13.04
S2_fear_3.mp4,0.00,0.00,0.00,0.00,2.68,0.00,97.32
S2_fear_3.mp4,4.35,8.70,60.87,0.00,0.00,26.09,0.00
S6_sad_1.mp4,98.73,0.00,0.00,0.00,1.27,0.00,0.00
S6_sad_1.mp4,0.00,8.70,4.35,0.00,86.96,0.00,0.00
S7_happy_3.mp4,0.00,0.00,0.00,15.05,0.00,0.00,84.95
S7_happy_3.mp4,0.00,4.35,0.00,73.91,0.00,21.74,0.00
S4_happy_10.mp4,0.00,0.00,0.00,64.71,0.00,0.00,35.29
S4_happy_10.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S7_happy_2.mp4,0.00,0.00,0.00,41.86,0.00,0.00,58.14
S7_happy_2.mp4,0.00,0.00,4.35,65.22,0.00,8.70,21.74
S3_surprise_1.mp4,0.00,0.00,0.00,0.00,1.18,1.18,97.65
S3_surprise_1.mp4,4.35,0.00,39.13,0.00,30.43,17.39,8.70
S2_fear_4.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S2_fear_4.mp4,0.00,8.70,34.78,0.00,0.00,56.52,0.00
S3_happy_disgust.mp4,33.33,0.00,0.00,55.26,0.00,4.39,7.02
S3_happy_disgust.mp4,0.00,26.09,0.00,73.91,0.00,0.00,0.00
S3_happy_4.mp4,0.00,0.00,0.00,76.80,0.80,0.00,22.40
S3_happy_4.mp4,0.00,0.00,0.00,95.65,0.00,4.35,0.00
S1_fear_surprise_3.mp4,0.00,0.00,0.00,0.00,0.00,14.55,85.45
S1_fear_surprise_3.mp4,0.00,0.00,52.17,0.00,0.00,47.83,0.00
S4_happy_2.mp4,7.14,0.00,0.00,92.86,0.00,0.00,0.00
S4_happy_2.mp4,0.00,0.00,0.00,86.96,4.35,8.70,0.00
S5_disgust.mp4,55.42,0.00,0.00,28.92,0.00,0.00,15.66
S5_disgust.mp4,4.35,60.87,30.43,4.35,0.00,0.00,0.00
S4_happy_5.mp4,0.00,0.00,0.00,98.40,0.80,0.00,0.80
S4_happy_5.mp4,0.00,0.00,4.35,69.57,4.35,17.39,4.35
S3_sad_1.mp4,2.76,0.00,0.00,0.00,80.00,0.00,17.24
S3_sad_1.mp4,0.00,0.00,34.78,0.00,34.78,13.04,17.39
S3_happy_3.mp4,26.06,0.00,0.00,50.00,11.17,0.00,12.77
S3_happy_3.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S5_happy_2.mp4,100.00,0.00,0.00,0.00,0.00,0.00,0.00
S5_happy_2.mp4,34.78,4.35,0.00,13.04,13.04,0.00,34.78
S5_surprise_7.mp4,95.29,0.00,0.00,0.00,0.00,0.00,4.71
S5_surprise_7.mp4,13.04,17.39,0.00,0.00,4.35,56.52,8.70
S1_disgust_1.mp4,9.69,0.00,0.00,4.59,4.08,0.00,81.63
S1_disgust_1.mp4,0.00,95.65,4.35,0.00,0.00,0.00,0.00
S3_happy.mp4,0.00,0.00,0.00,20.63,0.00,0.00,79.37
S3_happy.mp4,0.00,0.00,0.00,86.96,0.00,13.04,0.00
S5_fear.mp4,98.41,0.00,0.00,0.00,0.00,0.00,1.59
S5_fear.mp4,21.74,8.70,30.43,0.00,13.04,0.00,26.09
S5_surprise_happy_1.mp4,48.56,0.00,0.00,35.10,9.62,0.00,6.73
S5_surprise_happy_1.mp4,0.00,8.70,0.00,21.74,0.00,69.57,0.00
S4_happy_3.mp4,27.60,0.00,0.00,72.40,0.00,0.00,0.00
S4_happy_3.mp4,0.00,0.00,4.35,78.26,4.35,4.35,8.70
S5_happy_3.mp4,31.08,0.00,0.00,67.57,1.35,0.00,0.00
S5_happy_3.mp4,0.00,0.00,0.00,86.96,13.04,0.00,0.00
S7_happy_4.mp4,0.00,0.00,0.00,36.96,0.00,0.00,63.04
S7_happy_4.mp4,0.00,0.00,0.00,73.91,0.00,26.09,0.00
S4_happy_1.mp4,0.00,0.00,0.00,97.39,0.00,0.00,2.61
S4_happy_1.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S4_happy_4.mp4,61.90,0.00,0.00,36.90,0.00,0.00,1.19
S4_happy_4.mp4,0.00,0.00,8.70,65.22,13.04,8.70,4.35
S1_surprise_4.mp4,0.00,0.00,0.00,0.00,0.00,36.47,63.53
S1_surprise_4.mp4,0.00,4.35,8.70,0.00,0.00,86.96,0.00
S7_happy_surprise_2.mp4,0.00,0.00,0.00,71.83,0.00,15.49,12.68
S7_happy_surprise_2.mp4,0.00,0.00,4.35,43.48,0.00,52.17,0.00
S5_surprise_1.mp4,66.15,0.00,0.00,0.00,3.08,0.00,30.77
S5_surprise_1.mp4,0.00,0.00,4.35,0.00,0.00,95.65,0.00
S2_surprise_5.mp4,44.20,0.00,0.00,0.00,17.68,2.76,35.36
S2_surprise_5.mp4,0.00,4.35,8.70,0.00,0.00,82.61,4.35
S3_surprise.mp4,28.46,0.00,0.00,35.77,0.81,0.00,34.96
S3_surprise.mp4,0.00,0.00,0.00,69.57,0.00,30.43,0.00
S1_happy_4.mp4,0.00,0.00,0.00,55.29,0.00,0.00,44.71
S1_happy_4.mp4,0.00,4.35,0.00,56.52,0.00,39.13,0.00
S1_happy_3.mp4,0.00,0.00,0.00,23.29,0.00,0.00,76.71
S1_happy_3.mp4,0.00,0.00,0.00,78.26,0.00,21.74,0.00
S6_sad.mp4,100.00,0.00,0.00,0.00,0.00,0.00,0.00
S6_sad.mp4,8.70,0.00,8.70,0.00,60.87,4.35,17.39
S1_fear_surprise_5.mp4,0.45,0.00,0.00,0.00,0.45,18.64,80.45
S1_fear_surprise_5.mp4,0.00,0.00,47.83,0.00,0.00,52.17,0.00
S1_fear_surprise_1.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S1_fear_surprise_1.mp4,4.35,4.35,21.74,0.00,4.35,65.22,0.00
S2_surprise_3.mp4,0.00,0.00,0.00,0.00,0.00,0.96,99.04
S2_surprise_3.mp4,8.70,8.70,30.43,0.00,4.35,30.43,17.39
S1_surprise_3.mp4,0.00,0.00,0.00,0.00,1.02,66.33,32.65
S1_surprise_3.mp4,4.35,0.00,30.43,0.00,0.00,65.22,0.00
S5_surprise_2.mp4,96.83,0.00,0.00,0.00,3.17,0.00,0.00
S5_surprise_2.mp4,26.09,4.35,13.04,0.00,0.00,43.48,13.04
S5_surprise.mp4,94.29,0.00,0.00,0.00,0.00,0.00,5.71
S5_surprise.mp4,8.70,0.00,0.00,0.00,0.00,69.57,21.74
S4_surprise.mp4,0.00,0.00,0.00,21.18,18.82,0.00,60.00
S4_surprise.mp4,0.00,0.00,4.35,21.74,39.13,34.78,0.00
S5_happy_1.mp4,99.20,0.00,0.00,0.00,0.80,0.00,0.00
S5_happy_1.mp4,21.74,8.70,8.70,26.09,13.04,4.35,17.39
S7_sad_1.mp4,33.52,0.00,40.66,0.00,4.95,0.00,20.88
S7_sad_1.mp4,17.39,4.35,4.35,0.00,69.57,0.00,4.35
S1_fear_surprise_2.mp4,0.00,0.00,0.00,0.00,0.83,24.17,75.00
S1_fear_surprise_2.mp4,4.35,0.00,52.17,0.00,0.00,39.13,4.35
S1_happy_1.mp4,0.00,0.00,0.00,60.00,0.00,0.00,40.00
S1_happy_1.mp4,0.00,0.00,0.00,95.65,0.00,4.35,0.00
S4_sad_1.mp4,0.00,0.00,0.00,0.00,1.70,0.00,98.30
S4_sad_1.mp4,26.09,0.00,17.39,0.00,26.09,0.00,30.43
S7_happy.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S7_happy.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S4_fear_4.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S4_fear_4.mp4,0.00,0.00,21.74,4.35,13.04,0.00,60.87
S4_fear_6.mp4,100.00,0.00,0.00,0.00,0.00,0.00,0.00
S4_fear_6.mp4,8.70,8.70,34.78,0.00,0.00,4.35,43.48
S7_Happy_surprise.mp4,3.29,0.00,0.00,61.18,5.92,0.00,29.61
S7_Happy_surprise.mp4,0.00,0.00,0.00,43.48,0.00,56.52,0.00
S6_happy_4.mp4,100.00,0.00,0.00,0.00,0.00,0.00,0.00
S6_happy_4.mp4,0.00,0.00,8.70,73.91,13.04,0.00,4.35
S1_happy_2.mp4,0.00,0.00,0.00,61.54,0.00,0.00,38.46
S1_happy_2.mp4,0.00,4.35,8.70,78.26,0.00,4.35,4.35
S5_happy.mp4,36.55,0.00,0.00,62.76,0.00,0.00,0.69
S5_happy.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S3_happy_2.mp4,2.40,0.00,0.00,62.40,1.60,0.00,33.60
S3_happy_2.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S7_surprise_4.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S7_surprise_4.mp4,0.00,4.35,0.00,0.00,0.00,95.65,0.00
S1_happy_5.mp4,0.00,0.00,0.00,58.00,0.00,0.00,42.00
S1_happy_5.mp4,0.00,0.00,0.00,95.65,0.00,4.35,0.00
S3_happy_1.mp4,0.00,0.00,0.00,0.00,0.00,0.00,100.00
S3_happy_1.mp4,0.00,0.00,17.39,26.09,30.43,4.35,21.74
S5_surprise_5.mp4,52.50,0.00,0.00,0.00,2.50,0.00,45.00
S5_surprise_5.mp4,13.04,8.70,13.04,0.00,0.00,65.22,0.00
S5_surprise_4.mp4,94.29,0.00,0.00,0.00,4.76,0.00,0.95
S5_surprise_4.mp4,34.78,4.35,13.04,0.00,4.35,21.74,21.74
S3_surprise_2.mp4,32.02,0.00,1.75,0.44,9.21,0.00,56.58
S3_surprise_2.mp4,0.00,17.39,17.39,34.78,4.35,26.09,0.00
S1_disgust_2.mp4,11.49,0.00,6.08,0.00,2.03,0.00,80.41
S1_disgust_2.mp4,4.35,91.30,4.35,0.00,0.00,0.00,0.00
S3_surprise_5.mp4,29.70,0.00,0.00,0.00,25.45,9.09,35.76
S3_surprise_5.mp4,0.00,8.70,26.09,0.00,8.70,47.83,8.70
S7_sad.mp4,18.00,0.00,2.50,0.00,0.50,0.00,79.00
S7_sad.mp4,21.74,4.35,8.70,0.00,56.52,0.00,8.70
S4_happy_9.mp4,6.67,0.00,0.00,80.95,0.95,0.00,11.43
S4_happy_9.mp4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
S3_sad_2.mp4,42.86,0.00,0.00,0.00,44.76,0.00,12.38
S3_sad_2.mp4,4.35,8.70,21.74,0.00,30.43,8.70,26.09
S2_surprise_7.mp4,2.44,0.00,0.00,0.00,0.00,0.00,97.56
S2_surprise_7.mp4,0.00,0.00,13.04,0.00,4.35,60.87,21.74
S3_sad.mp4,0.00,0.00,0.00,0.00,53.66,0.00,46.34
S3_sad.mp4,0.00,0.00,26.09,0.00,47.83,0.00,26.09
S4_happy_7.mp4,0.00,0.00,0.00,56.55,0.69,0.00,42.76
S4_happy_7.mp4,0.00,0.00,8.70,56.52,17.39,4.35,13.04
